ID,NIT,RAZON SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO_DOMICILIO,CIUDAD_DOMICILIO,MACROSECTOR,INGRESOS_OPERACIONALES_2018,GANANCIA_PERDIDA_2018,TOTAL_ACTIVOS_2018,TOTAL_PASIVOS_2018,TOTAL_PATRIMONIO_2018,INGRESOS_OPERACIONALES_2017,GANANCIA_PERDIDA_2017,TOTAL_ACTIVOS_2017,TOTAL_PASIVOS_2017,TOTAL_PATRIMONIO_2017,GRUPO_EN_NIIF
267,811.043.174,ZEUSS PETROLEUM SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,GIRARDOTA-ANTIOQUIA,COMERCIO,528424939,4315877,88454637,53828164,34626473,492131313,6957350,112402190,72091504,40310686,NIIF PYMES-GRUPO 2
268,860.005.265,Gaseosas Colombianas S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MANUFACTURA,528160916,12250477,486546090,209105866,277440224,482586861,18950494,466915074,120451244,346463830,NIIF PLENAS-GRUPO 1
269,860.007.955,DETERGENTES LTDA.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MANUFACTURA,527959248,24667073,603487273,394061700,209425573,608527104,48187773,565544436,328912272,236632164,NIIF PLENAS-GRUPO 1
270,830.012.157,THOMAS GREG & SONS LIMITED (GUERNSEY) S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,527023314,218219991,433941596,175090488,258851108,111691228,52397806,330255339,195055749,135199590,NIIF PLENAS-GRUPO 1
271,800.221.789,BRINSA S.A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,MANUFACTURA,524527411,41185306,714256373,392918451,321337922,508273840,34575673,708407930,404637033,303770897,NIIF PLENAS-GRUPO 1
272,860.005.050,MEXICHEM COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MANUFACTURA,521652845,30339552,444985804,129459018,315526786,498367811,33397717,456267937,137402393,318865544,NIIF PLENAS-GRUPO 1
273,830.131.993,EFECTIVO LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,520051012,48352713,329335018,198502319,130832699,516680929,37428498,329212950,229047316,100165634,NIIF PYMES-GRUPO 2
274,890.918.965,C.I TECNICAS BALTIME DE COLOMBIA S.A,SUPERSOCIEDADES,Costa Atlántica,MAGDALENA,SANTA-MARTA-MAGDALENA,COMERCIO,519195660,3906356,259212360,161684187,97528173,460968666,5836756,166965824,82315254,84650570,NIIF PLENAS-GRUPO 1
275,899.999.107,EPS'S CONVIDA,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,515869347.53,-66508304.99,137069081.19,275456241.28,-138387160.09,475860956.39,-30938121.52,134321559.96,226200415.06,-91878855.10,REGIMEN R 414 de 2014 - CGN
276,800.206.842,BAKER HUGHES DE COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,515845880,13524349,336672441,117767919,218904522,386933334,15012429,274169335,83845026,190324309,NIIF PLENAS-GRUPO 1
277,900.612.501,CHM MINERIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,514211978,50280423,225936575,138118463,87818112,419375043,34719275,239899811,151426808,88473003,NIIF PLENAS-GRUPO 1
278,900.327.290,DERCO COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,CHIA-CUNDINAMARCA,COMERCIO,512962673,717137,287915190,194254903,93660287,440139943,-14767828,232833936,169719992,63113944,NIIF PLENAS-GRUPO 1
279,900.166.896,HINO MOTORS MANUFACTURING COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA-CUNDINAMARCA,MANUFACTURA,511706091,9384414,176994904,93425214,83569690,378442788,12140213,152506307,80301674,72204633,NIIF PLENAS-GRUPO 1
280,811.044.814,SOCIEDAD DE COMERCIALIZACION INTERNACIONAL GIRDLE & LINGERIE S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,MANUFACTURA,509496471,31979508,258751710,221152766,37598944,23701263,10128135,266081775,223427881,42653894,NIIF PYMES-GRUPO 2
281,900.462.511,British American Tobacco Colombia SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,508327322,22943989,766373046,534840414,231532632,506472488,-100284200,789814320,581510830,208303490,NIIF PLENAS-GRUPO 1
282,890.914.526,ALMACENES FLAMINGO S.A,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,COMERCIO,508292101,6845883,603284791,411543218,191741573,503205901,7019449,619059577,429163887,189895690,NIIF PYMES-GRUPO 2
283,890.906.413,ELECTRICAS DE MEDELLIN INGENIERIA Y SERVICIOS S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,CONSTRUCCIÓN,504381556,77132441,754165601,313710408,440455193,468288418,102749370,625966768,235067543,390899225,NIIF PLENAS-GRUPO 1
284,900.149.606,EXCAVACIONES Y PROYECTOS DE COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,504163602,34797677,204008216,127138452,76869764,309410123,5789024,187410093,145338007,42072086,NIIF PYMES-GRUPO 2
